अँग्रेज़	̃grēz
विविधताओं	vividhtāō̃
विवियन	viviy
विवेक	vivē
विवेकानंद	vivēād
विवेचना	vivēcā
विश्नविद्यालयों	viśvidyālyō̃
विश्राम	viśrām
विश्लेषक	viślēṣ
विश्लेषकों	viślēṣō̃
विश्लेषण	viślēṣṇ
विश्व	viśv
विश्वकप	viśvp
विश्वकर्मा	viśvrmā
विश्वनाथ	viśvāth
विश्वबैंक	viśvbi
विश्वभारती	viśvbhārtī
विश्वव्यापी	viśvvyāpī
विश्वविद्दालय	viśvviddāly
विश्वविद्यालय	viśvvidyāly
विश्वसनीय	viśvsīy
विश्वसनीयता	viśvsīytā
विश्वास	viśvās
विश्वासघात	viśvāsghāt
विश्वासपात्र	viśvāspātr
विश्विद्यालय	viśvidyāly
विशाखापत्तनम	viśāhāpttm
विशाल	viśāl
विशालकाय	viśālāy
विशिष्ट	viśiṣṭ
विशिष्टता	viśiṣṭtā
विशिष्ठ	viśiṣṭh
विशुद्ध	viśuddh
विशेष	viśēṣ
विशेषज्ञ	viśēṣjñ
विशेषज्ञता	viśēṣjñtā
विशेषज्ञों	viśēṣjñō̃
विशेषताएँ	viśēṣtāē̃
विशेषांक	viśēṣā
विष्णु	viṣṇu
विष्णुपडा	viṣṇupḍā
विषय	viṣy
विषयों	viṣyō̃
विषैले	viṣilē
विसंगतियों	visgtiyō̃
विस्कोंसिन	visō̃si
विस्कोनसिन	visōsi
विस्कोन्सिन	visōsi
विस्कोसिन	visōsi
विस्तार	vistār
विस्तारवादी	vistārvādī
विस्तृत	vistṛt
विस्फोट	visphōṭ
विस्फोटक	visphōṭ
विस्फोटों	visphōṭō̃
विस्मयकारी	vismyārī
विहंग	vihg
विहार	vihār
विहिप	vihip
वी	vī
वीं	vī̃
वीआर	vīār
वीएचपी	vīēcpī
वीक	vī
वीके	vīē
वीज़ा	vīzā
वीजू	vījū
वीटनी	vīṭī
वीटो	vīṭō
वीडियो	vīḍiyō
वीडियोकॉन	vīḍiyōô
वीनस	vīs
वीना	vīā
वीपी	vīpī
वीबी	vībī
वीर	vīr
वीरतुंगा	vīrtugā
वीरप्पन	vīrpp
वीरमारम	vīrmārm
वीरमाराम	vīrmārām
वीर्य	vīry
वीरान	vīrā
वीरू	vīrū
वीरेंदर	vīrēdr
वीरेंद्र	vīrēdr
वीरेन्दर	vīrēdr
वीवर	vīvr
वीवी	vīvī
वीवीएस	vīvīēs
वीसा	vīsā
वुडब्रिज	vuḍbrij
वुडवर्ड	vuḍvrḍ
वुड्स	vuḍs
वुदरिंग	vudrig
वुल्फस	vulphs
वुल्फैंसॉन	vulphĩsô
वुल्मर	vulmr
वू	vū
वूल्फ़ेन्सन	vūlfēs
वूलफ़ेन्सन	vūlfēs
वूल्फ़ोविट्ज़	vūlfōviṭz
वूल्मर	vūlmr
वृत्तचित्रों	vṛttcitrō̃
वृद्ध	vṛddh
वृद्धि	vṛddhi
वे	vē
वें	vē̃
वेंकट	vēṭ
वेंकैया	vēiyā
वेंडेमिया	vēṇḍēmiyā
वेंबा	vēmbā
वेक्सीन	vēsī
वेगास	vēgās
वेटिकन	vēṭi
वेटोरी	vēṭōrī
वेडिंग	vēḍig
वेणुगोपाल	vēṇugōpāl
वेतन	vēt
वेदांती	vēdātī
वेधशाला	vēdhśālā
वेन	vē
वेनिस	vēis
वेनेसा	vēēsā
वेपन	vēp
वेब	vēb
वेबगाइड	vēbgāiḍ
वेबपेजों	vēbpējō̃
वेबर	vēbr
वेबरुट	vēbruṭ
वेबलॉग	vēblôg
वेबलॉगर	vēblôgr
वेबसाइट	vēbsāiṭ
वेबसाइटें	vēbsāiṭē̃
वेबसाइटों	vēbsāiṭō̃
वेबासाइटों	vēbāsāiṭō̃
वेयर	vēyr
वेरोना	vērōā
वेल	vēl
वेलण्कणी	vēlṇṇī
वेल्यू	vēlyū
वेल्लुपई	vēllupī
वेल्लूर	vēllūr
वेल्लोर	vēllōr
वेलवेट	vēlvēṭ
वेल्श	vēlś
वेल्स	vēls
वेलुपिल्लई	vēlupillī
वेलुपिल्लै	vēlupilli
वेश्याएं	vēśyāē̃
वेश्याओं	vēśyāō̃
वेश्यालय	vēśyāly
वेषभूषा	vēṣbhūṣā
वेस्ट	vēsṭ
वेस्टइंडीज	vēsṭiṇḍīj
वेस्टइंडीज़	vēsṭiṇḍīz
वैंगांकर	vigār
वैंडेनवर्ग	viṇḍēvrg
वैकम	vim
वैकल्पिक	vilpi
वैक्सीन	visī
वैज्ञानिक	vijñāi
वैज्ञानिको	vijñāiō
वैज्ञानिकों	vijñāiō̃
वैजयंती	vijytī
वैद्य	vidy
वैध	vidh
वैधता	vidhtā
वैधानिक	vidhāi
वैन	vi
वैभव	vibhv
वैराईटी	virāīṭī
वैरी	virī
वैली	vilī
वैलेस	vilēs
वैवाहिक	vivāhi
वैवेल	vivēl
वैष्णो	viṣṇō
वैष्णोदेवी	viṣṇōdēvī
वैसा	visā
वैसी	visī
वैसे	visē
वॉ	vô
वॉक	vô
वॉकर	vôr
वॉट	vôṭ
वॉटर	vôṭr
वॉटरहाउस	vôṭrhāus
वॉटसन	vôṭs
वॉर्क	vôr
वॉर्न	vôr
वॉर्मिंग	vôrmig
वॉरिक	vôri
वॉल्ट	vôlṭ
वॉल्श	vôlś
वॉशिंगटन	vôśigṭ
वॉशिंटगन	vôśiṇṭg
वो	vō
वोकल	vōl
वोकलकॉड	vōlôḍ
वोट	vōṭ
वोटर	vōṭr
वोटरों	vōṭrō̃
वोटिंग	vōṭig
वोटों	vōṭō̃
वोरा	vōrā
वोल्यूम	vōlyūm
वोहरा	vōhrā
शंकर	śr
शंकररमण	śrrmṇ
शंकररामण	śrrāmṇ
शंकररामन	śrrām
शंकराचार्च	śrācārc
शंकराचार्य	śrācāry
शंभूनाथ	śmbhūāth
शक	ś
शक्ति	śti
शक्तियों	śtiyō̃
शक्तिशाली	śtiśālī
शक्ल	śl
शका	śā
शकीरा	śīrā
शकुंतला	śutlā
शख़्शियतें	ś̱ẖśiytē̃
शख्सियत	śhsiyt
शख़्सियत	ś̱ẖsiyt
शग़ल	śġl
शत	śt
शतक	śt
शतकीय	śtīy
शतकों	śtō̃
शत्रु	śtru
शताब्दी	śtābdī
शनि	śi
शनिवार	śivār
शपथ	śpth
शपथपत्रों	śpthptrō̃
शफी	śphī
शफ़ी	śfī
शब्द	śbd
शब्दकोश	śbdōś
शब्दकोष	śbdōṣ
शब्दावली	śbdāvlī
शब्दों	śbdō̃
शब्बीर	śbbīr
शबरी	śbrī
शमशीर	śmśīr
शमसुज़ोहा	śmsuzōhā
शमसुद्दीन	śmsuddī
शमा	śmā
शमीम	śmīm
श्याम	śyām
श्यामल	śyāml
श्यामलन	śyāml
श्रंखला	śrṁhlā
शरकी	śrī
शरजाह	śrjāh
शर्ट	śrṭ
शरण	śrṇ
शरणार्थी	śrṇārthī
शर्णार्थी	śrṇārthī
शर्त	śrt
शर्तिया	śrtiyā
शर्तें	śrtē̃
शर्तों	śrtō̃
शरद	śrd
श्रद्दालुओं	śrddāluō̃
श्रद्धा	śrddhā
श्रद्धाँजलि	śrddhā̃jli
श्रद्धांजलि	śrddhāñjli
श्रद्धालु	śrddhālu
श्रद्धालुओं	śrddhāluō̃
शर्म	śrm
शर्मनाक	śrmā
शर्मा	śrmā
शर्मिंदगी	śrmidgī
शर्मिंदा	śrmidā
श्रमिकों	śrmiō̃
शर्मिन्दगी	śrmidgī
शर्मिला	śrmilā
शर्मिष्ठा	śrmiṣṭhā
शर्मीला	śrmīlā
शर्मीले	śrmīlē
शरापोवा	śrāpōvā
श्राफ	śrāph
शराफ़त	śrāft
शराब	śrāb
शराबख़ानों	śrāḇẖāō̃
शराबी	śrābī
शराबे	śrābē
श्रिनिवास	śriivās
शरिया	śriyā
श्री	śrī
श्रीकांत	śrīāt
श्रीगंगानगर	śrīggāgr
श्रीधर	śrīdhr
श्रीधरन	śrīdhr
श्रीनगर	śrīgr
श्रीनाथ	śrīāth
श्रीनिवास	śrīivās
श्रीनिवासन	śrīivās
श्रीनिवासाचार्य	śrīivāsācāry
श्रीपद	śrīpd
श्रीप्रकाश	śrīprāś
श्रीपाठक	śrīpāṭh
शरीफ	śrīph
शरीफ़	śrīf
श्रीमती	śrīmtī
शरीयत	śrīyt
शरीर	śrīr
श्रीराम	śrīrām
श्रीलंका	śrīlā
श्रीलंकाई	śrīlāī
श्रीवास्तव	śrīvāstv
श्रीष	śrīṣ
श्रृँखला	śrṛ̃hlā
श्रृंखला	śrṛ̃hlā
श्रृंखलाओ	śrṛ̃hlāō
श्रृंखली	śrṛ̃hlī
श्रृद्धांजलि	śrṛddhāñjli
श्रेणियों	śrēṇiyō̃
श्रेणी	śrēṇī
श्रेय	śrēy
श्रेष्ठ	śrēṣṭh
श्रेष्ठा	śrēṣṭhā
श्रॉपशायर	śrôpśāyr
श्रॉफ़	śrôf
श्रोता	śrōtā
श्रोताओं	śrōtāō̃
शव	śv
शवयात्रा	śvyātrā
श्वार्ज़नेगर	śvārzēgr
श्वार्ज़ेनेगर	śvārzēēgr
श्वास	śvās
श्वेत	śvēt
श्वेता	śvētā
शवों	śvō̃
शहज़ादे	śhzādē
शहर	śhr
शहरयार	śhryār
शहरी	śhrī
शहरों	śhrō̃
शहाब	śhāb
शहाबुद्दिन	śhābuddi
शहाबुद्दीन	śhābuddī
शहीद	śhīd
शहीदी	śhīdī
शहीर	śhīr
शाँतिपूर्ण	śā̃tipūrṇ
शांत	śāt
शांति	śāti
शांतिकाल	śātiāl
शांतिनिकेतन	śātiiēt
शांतिप्रिय	śātipriy
शांतिपूर्ण	śātipūrṇ
शांतिपूर्वक	śātipūrv
शांतिवार्ता	śātivārtā
शाउल	śāul
शाकालाका	śāālāā
शाकाहारी	śāāhārī
शाकिर	śāir
शाकिरा	śāirā
शाखा	śāhā
शाखाओं	śāhāō̃
शाद	śād
शादाब	śādāb
शादियाँ	śādiyā̃
शादियों	śādiyō̃
शादी	śādī
शादीशुदा	śādīśudā
शान	śā
शानदार	śādār
शानी	śāī
शाब्दिक	śābdi
शाबाशी	śābāśī
शाम	śām
शामिल	śāmil
शामों	śāmō̃
शायद	śāyd
शायर	śāyr
शायरी	śāyrī
शारजाह	śārjāh
शारज़ाह	śārzāh
शारदा	śārdā
शारदानन्द	śārdād
शार्प	śārp
शारापोवा	śārāpōvā
शारीरिक	śārīri
शालिनी	śāliī
शालीन	śālī
शाश्वत	śāśvt
शासक	śās
शासकीय	śāsīy
शास्त्र	śāstr
शास्त्री	śāstrī
शास्त्रीय	śāstrīy
शासन	śās
शासनकाल	śāsāl
शासित	śāsit
शाह	śāh
शाहजहाँ	śāhjhā̃
शाहनवाज़	śāhvāz
शाहरुख	śāhruh
शाहरुख़	śāhru̱ẖ
शाहरूख़	śāhrū̱ẖ
शाहिद	śāhid
शिंगपती	śigptī
शिंदे	śidē
शिओयामा	śiōyāmā
शिकंजा	śiñjā
शिकंजे	śiñjē
शिक्ज़ेंटमिहालाई	śizēṇṭmihālāī
शिकवों	śivō̃
शिक्षक	śiṣ
शिक्षकों	śiṣō̃
शिक्षा	śiṣā
शिक्षाऐं	śiṣāĩ
शिक्षार्थी	śiṣārthī
शिक्षिका	śiṣiā
शिक्षित	śiṣit
शिकस्त	śist
शिकागो	śiāgō
शिकायत	śiāyt
शिकायतें	śiāytē̃
शिकायतों	śiāytō̃
शिकार	śiār
शिकारी	śiārī
शिकारे	śiārē
शिकोह	śiōh
शिकोहाबाद	śiōhābād
शिखर	śihr
शिनाख़्त	śiā̱ẖt
शिनावात्रा	śiāvātrā
शिप	śip
शिफा	śiphā
शिमला	śimlā
शिमान	śimā
शिया	śiyā
शिरीष	śirīṣ
शिरोमणि	śirōmṇi
शिलाखंड	śilāhṇḍ
शिलापट	śilāpṭ
शिव	śiv
शिवकांत	śivāt
शिवदसानी	śivdsāī
शिवनारायण	śivārāyṇ
शिवपुर	śivpur
शिवराज	śivrāj
शिवरात्रि	śivrātri
शिवलाल	śivlāl
शिवसुंदर	śivsudr
शिवसेना	śivsēā
शिवानंद	śivād
शिवानी	śivāī
शिविर	śivir
शिविरों	śivirō̃
शिवेंदर	śivēdr
शिशिर	śiśir
शिशु	śiśu
शिष्टभंग	śiṣṭbhg
शिष्टमंडल	śiṣṭmṇḍl
शिष्य	śiṣy
शिष्या	śiṣyā
शिष्यों	śiṣyō̃
शीघ्र	śīghr
शीत	śīt
शीतयुद्धकालीन	śītyuddhālī
शीतलवाड	śītlvāḍ
शीर्ण	śīrṇ
शीर्ष	śīrṣ
शीर्षक	śīrṣ
शील्ड	śīlḍ
शीला	śīlā
शीलू	śīlū
शीशे	śīśē
शुक्र	śur
शुक्रगुज़ार	śurguzār
शुक्रवार	śurvār
शुक्राणु	śurāṇu
शुक्राणुओं	śurāṇuō̃
शुक्रिया	śuriyā
शुक्ल	śul
शुक्ला	śulā
शुद्ध	śuddh
शुद्धता	śuddhtā
शुभ	śubh
शुभकामना	śubhāmā
शुभकामनाएँ	śubhāmāē̃
शुभकामनाएं	śubhāmāē̃
शुभ्रांशु	śubhrā̃śu
शुमार	śumār
शुरु	śuru
शुरुआत	śuruāt
शुरुआती	śuruātī
शुरू	śurū
शुरूआत	śurūāt
शुरूआती	śurūātī
शुल्क	śul
शूटआउट	śūṭāuṭ
शूटिंग	śūṭig
शून्य	śūy
शूमाकर	śūmār
शूरवीरा	śūrvīrā
शूरा	śūrā
शृंखला	śṛ̃hlā
शेईकिन	śēīi
शेक्सपियर	śēspiyr
शेक्सपीयर	śēspīyr
शेख	śēh
शेख़	śē̱ẖ
शेख़चिल्ली	śē̱ẖcillī
शेखपुरा	śēhpurā
शेख़पुरा	śē̱ẖpurā
शेखर	śēhr
शेख़र	śē̱ẖr
शेखावत	śēhāvt
शेट्टी	śēṭṭī
शेन	śē
शेफ़ील्ड	śēfīlḍ
शेयर	śēyr
शेयरधारकों	śēyrdhārō̃
शेयरों	śēyrō̃
शेर	śēr
शेरगिल	śērgil
शेरवानी	śērvāī
शेरा	śērā
शेरावत	śērāvt
शेरॉन	śērô
शेरोन	śērō
शेलार	śēlār
शेवचेन्को	śēvcēō
शेष	śēṣ
शैक्षिक	śiṣi
शैतान	śitā
शैतानियत	śitāiyt
शैतानी	śitāī
शैतानों	śitāō̃
शैरी	śirī
शैरोन	śirō
शैली	śilī
शैलेश	śilēś
शैवालों	śivālō̃
शॉ	śô
शॉट	śôṭ
शॉट्स	śôṭs
शॉन	śô
शॉप	śôp
शॉपिंग	śôpig
शॉम्पनी	śômpī
शॉम्पेन	śômpē
शॉल	śôl
शो	śō
शोएब	śōēb
शोक	śō
शोध	śōdh
शोधक	śōdh
शोधकर्त्ताओं	śōdhrttāō̃
शोधकर्ता	śōdhrtā
शोधकर्ताओ	śōdhrtāō
शोधकर्ताओं	śōdhrtāō̃
शोधकार्य	śōdhāry
शोधों	śōdhō̃
शोपुर	śōpur
शोफ़ील्ड	śōfīlḍ
शोभा	śōbhā
शोम	śōm
शोर	śōr
शोले	śōlē
शोषण	śōṣṇ
शोहरत	śōhrt
शौक	śu
शौक़	śuq
शौकत	śut
शौक़त	śuqt
शौकीन	śuī
शौकीनों	śuīō̃
शौक़ीनों	śuqīō̃
शौचालयों	śucālyō̃
शौचालाय	śucālāy
शौहरत	śuhrt
षडयंत्र	ṣḍytr
षड्यंत्र	ṣḍytr
षडयंत्रों	ṣḍytrō̃
सँभल	sm̐bhl
सँभाल	sm̐bhāl
सँभालना	sm̐bhālā
सँभालेंगी	sm̐bhālēgī
सँवार	sm̐vār
संकट	sṭ
संकटों	sṭō̃
संक्रमण	srmṇ
संक्रमित	srmit
संकरे	srē
संकलन	sl
संकलने	slē
संकल्प	slp
संक्षिप्त	sṣipt
संकाय	sāy
संकेत	sēt
संकेतों	sētō̃
संकोच	sōc
संख्या	sṁhyā
संखला	sṁhlā
संगकारा	sgārā
संगट	sgṭ
संगठ	sgṭh
संगठन	sgṭh
संगठनों	sgṭhō̃
संग्रह	sgrh
संग्रहालय	sgrhāly
संग्रहालयों	sgrhālyō̃
संग्रहों	sgrhō̃
संग्राम	sgrām
संगरौला	sgrulā
संगीत	sgīt
संगीतकार	sgītār
संगीतकारों	sgītārō̃
संगीतमय	sgītmy
संगोल्डा	sgōlḍā
संघ	sgh
संघर्ष	sghrṣ
संघर्षरत	sghrṣrt
संघर्षविराम	sghrṣvirām
संघर्षों	sghrṣō̃
संघवी	sghvī
संघीय	sghīy
संघों	sghō̃
संचार	sñcār
संचारित	sñcārit
संचालक	sñcāl
संचालन	sñcāl
संचालित	sñcālit
संजय	sñjy
संजीदा	sñjīdā
संजीव	sñjīv
संजोते	sñjōtē
संजोने	sñjōē
संजोये	sñjōyē
संत	st
संतानोत्पत्ति	stāōtptti
संताप	stāp
संतुलित	stulit
संतुष्ट	stuṣṭ
संतुष्टि	stuṣṭi
संतोष	stōṣ
संतोषजनक	stōṣj
संदर्भ	sdrbh
संदागिरी	sdāgirī
संदिग्ध	sdigdh
संदीप	sdīp
संदेश	sdēś
संदेशवाहक	sdēśvāh
संदेशों	sdēśō̃
संदेह	sdēh
संदेहास्पद	sdēhāspd
संध्या	sdhyā
संधान	sdhā
संधि	sdhi
संधु	sdhu
संधू	sdhū
संन्यास	syās
संपत	smpt
संपत्ति	smptti
संपत्तियों	smpttiyō̃
संपन्न	smp
संपन्नता	smptā
संपर्क	smpr
संप्रदाय	smprdāy
संप्रभु	smprbhu
संप्रभुता	smprbhutā
संपादक	smpād
संपादकों	smpādō̃
संपादन	smpād
संपूर्ण	smpūrṇ
संबंद्ध	smbddh
संबंध	smbdh
संबंधित	smbdhit
संबंधियों	smbdhiyō̃
संबंधी	smbdhī
संबंधों	smbdhō̃
संबद्ध	smbddh
संबोधन	smbōdh
संबोधित	smbōdhit
संभल	smbhl
संभलने	smbhlē
संभव	smbhv
संभवत	smbhvt
संभवतः	smbhvtḥ
संभाल	smbhāl
संभालते	smbhāltē
संभालना	smbhālā
संभालने	smbhālē
संभाला	smbhālā
संभाले	smbhālē
संभालेंगे	smbhālēgē
संभावना	smbhāvā
संभावनाएँ	smbhāvāē̃
संभावनाएं	smbhāvāē̃
संभावनाओं	smbhāvāō̃
संभावित	smbhāvit
संम्बधी	smmbdhī
संम्बधों	smmbdhō̃
संम्भवतः	smmbhvtḥ
संयंत्र	sṁytr
संयंत्रों	sṁytrō̃
संयम	sṁym
संयुक्त	sṁyut
संयोग	sṁyōg
संयोगवश	sṁyōgvś
संयोजक	sṁyōj
संरक्षक	sṁrṣ
संरक्षकों	sṁrṣō̃
संरक्षण	sṁrṣṇ
संरक्षा	sṁrṣā
संरक्षित	sṁrṣit
संरचना	sṁrcā
संलग्न	sṁlg
संवर्द्धन	sṁvrddh
संवर्धन	sṁvrdh
संवाद	sṁvād
संवाददाता	sṁvāddātā
संवाददाताओं	sṁvāddātāō̃
संवारेंगे	sṁvārēgē
संविधान	sṁvidhā
संविधानविद	sṁvidhāvid
संवेदकों	sṁvēdō̃
संवेदनशील	sṁvēdśīl
संवेदनशीलता	sṁvēdśīltā
संवेदना	sṁvēdā
संवेदनाएँ	sṁvēdāē̃
संवेदनाएं	sṁvēdāē̃
संवेदनाओं	sṁvēdāō̃
संवेदी	sṁvēdī
संवैधानिक	sṁvidhāi
संशय	sṁśy
संशोधन	sṁśōdh
संशोधित	sṁśōdhit
संस्करण	sṁsrṇ
संस्करणों	sṁsrṇō̃
संस्कार	sṁsār
संस्कृत	sṁsṛt
संस्कृति	sṁsṛti
संस्था	sṁsthā
संस्थाएँ	sṁsthāē̃
संस्थाएं	sṁsthāē̃
संस्थाओं	sṁsthāō̃
संस्थान	sṁsthā
संस्थानों	sṁsthāō̃
संस्थापक	sṁsthāp
संसद	sṁsd
संसदीय	sṁsdīy
संस्मरण	sṁsmrṇ
संसाधन	sṁsādh
संसाधनों	sṁsādhō̃
संसार	sṁsār
संसारिकता	sṁsāritā
संहार	sṁhār
संहिता	sṁhitā
सईद	sīd
सउदी	sudī
सऊदी	sūdī
स्कडमोर	sḍmōr
सकता	stā
सकती	stī
सकतीं	stī̃
सकते	stē
सकना	sā
सकने	sē
सकनेवाला	sēvālā
स्कर्ट	srṭ
स्क्रिप्ट	sripṭ
सक्रिय	sriy
सक्रियता	sriytā
स्क्रीन	srī
स्क्रीनप्ले	srīplē
स्क्रैम	srim
स्क्रैमजेट	srimjēṭ
सकलानी	slāī
स्क्वाड्रन	svāḍr
स्क्वीरेस	svīrēs
सक्षम	sṣm
सक्षमता	sṣmtā
सक्सेना	ssēā
सका	sā
स्काई	sāī
स्कार्फ़	sārf
सकारात्मक	sārātm
सकी	sī
सकीं	sī̃
सकीना	sīā
सकुशल	suśl
सकूँ	sū̃
सकूँगा	sū̃gā
स्कूटर	sūṭr
स्कूबा	sūbā
स्कूल	sūl
स्कूली	sūlī
स्कूलों	sūlō̃
सके	sē
सकें	sē̃
सकेंगी	sēgī
सकेंगे	sēgē
सकेगा	sēgā
सकेगी	sēgī
सकेगें	sēgē̃
स्केटिंग	sēṭig
स्केल	sēl
स्केल्ड	sēlḍ
स्कैन	si
स्कैनर	sir
स्कैनिंग	siig
स्कॉट	sôṭ
स्कॉटलैंड	sôṭliṇḍ
स्कॉलरी	sôlrī
स्कोर	sōr
स्कोरकार्ड	sōrārḍ
सख़्त	s̱ẖt
सख़्ती	s̱ẖtī
स्खलन	shl
सगंठन	sgṇṭh
सगरपुर	sgrpur
सगाई	sgāī
सग़ीर	sġīr
सच	sc
सच्चा	sccā
सच्चाइयाँ	sccāiyā̃
सच्चाइयों	sccāiyō̃
सच्चाई	sccāī
सच्ची	sccī
सच्चे	sccē
सचदेव	scdēv
सचमुच	scmuc
सचिन	sci
सचिनः	sciḥ
सचिव	sciv
सचिवालय	scivāly
सचिवों	scivō̃
सचेत	scēt
सज	sj
सजग	sjg
सज्जन	sjj
सजा	sjā
सज़ा	szā
सज़ाएँ	szāē̃
सजाया	sjāyā
सज़ायाफ्ता	szāyāphtā
सजावटी	sjāvṭī
सजी	sjī
सजीव	sjīv
स्टंट	sṭṇṭ
स्टंटबाज़ी	sṭṇṭbāzī
स्टंप	sṭmp
सट्टा	sṭṭā
सट्टेबाज़	sṭṭēbāz
सट्टेबाज़ी	sṭṭēbāzī
सट्टेबाज़ों	sṭṭēbāzō̃
सटर्टवेंट	sṭrṭvēṇṭ
स्ट्राइकर	sṭrāir
स्ट्राइड	sṭrāiḍ
स्ट्रींगर	sṭrīgr
स्ट्रीप	sṭrīp
स्ट्रीसैंड	sṭrīsiṇḍ
स्ट्रॉ	sṭrô
स्टाफ	sṭāph
स्टाफ़	sṭāf
स्टार	sṭār
स्टारडस्ट	sṭārḍsṭ
स्टारलाइट	sṭārlāiṭ
स्टारों	sṭārō̃
स्टालिनवादी	sṭālivādī
सटीक	sṭī
स्टीफ़ंस	sṭīfṁs
स्टीफ़न	sṭīf
स्टीफेन	sṭīphē
स्टीफ़ेन	sṭīfē
स्टीरियो	sṭīriyō
स्टीरियोफ़ोनिक	sṭīriyōfōi
स्टीव	sṭīv
स्टीवन	sṭīv
स्टीवेन	sṭīvē
स्टूडियो	sṭūḍiyō
सटे	sṭē
स्टे	sṭē
स्टेज	sṭēj
स्टेट	sṭēṭ
स्टेडियम	sṭēḍiym
स्टेडियमों	sṭēḍiymō̃
स्टेनली	sṭēlī
स्टेफ़ी	sṭēfī
स्टेम	sṭēm
स्टेरॉयड	sṭērôyḍ
स्टेशन	sṭēś
स्टेशनों	sṭēśō̃
स्टैंड	sṭiṇḍ
स्टैंडर्ड	sṭiṇḍrḍ
स्टैनज़िन	sṭizi
स्टैनफ़ोर्ड	sṭifōrḍ
स्टैम्प	sṭimp
स्टॉकहोम	sṭôhōm
स्टॉप	sṭôp
स्टॉफ	sṭôph
स्टोन	sṭō
स्टोर	sṭōr
स्टोरी	sṭōrī
सठिया	sṭhiyā
सड़	sṛ
सडक	sḍ
सड़क	sṛ
सड़्क	sṛ
सडकें	sḍē̃
सड़कें	sṛē̃
सड़को	sṛō
सड़कों	sṛō̃
सड़ी	sṛī
सड़े	sṛē
सतत	stt
सत्तर	sttr
सत्ता	sttā
सत्ताच्युत	sttācyut
सत्ताधारी	sttādhārī
सत्तापक्ष	sttāpṣ
सत्तारुढ़	sttāruṛh
सत्ते	sttē
सतपथी	stpthī
स्तब्ध	stbdh
स्तम्भ	stmbh
सत्य	sty
सत्यजीत	styjīt
सत्यता	stytā
सत्यपाल	stypāl
सत्यम	stym
सत्र	str
स्तर	str
सतर्क	str
सतर्कता	strtā
सत्रह	strh
स्त्रियों	striyō̃
स्त्री	strī
स्तरीय	strīy
स्तरों	strō̃
सतह	sth
सतीश	stīś
स्तूप	stūp
स्थगन	sthg
स्थगित	sthgit
सथ्यू	sthyū
स्थल	sthl
स्थलों	sthlō̃
स्थव	sthv
स्थांतरित	sthātrit
स्थाई	sthāī
स्थान	sthā
स्थानीय	sthāīy
स्थानों	sthāō̃
स्थापना	sthāpā
स्थापित	sthāpit
स्थायित्व	sthāyitv
स्थायी	sthāyī
स्थिक	sthi
स्थित	sthit
स्थिति	sthiti
स्थितियाँ	sthitiyā̃
स्थितियों	sthitiyō̃
स्थिर	sthir
स्थिरता	sthirtā
सद्दाम	sddām
सदन	sd
सदनों	sdō̃
सदभावना	sdbhāvā
सदमा	sdmā
सदमे	sdmē
सद्र	sdr
सदस्य	sdsy
सदस्यता	sdsytā
सदस्यीय	sdsyīy
सदस्यों	sdsyō̃
सदा	sdā
सदाचार	sdācār
सदाबहार	sdābhār
सदियों	sdiyō̃
सदी	sdī
स्देरात	sdērāt
स्देरोट	sdērōṭ
सदैव	sdiv
सन	s
सन्	s
सनत	st
सन्नाटा	sāṭā
सन्नी	sī
सन्यास	syās
सनसनी	ssī
सनसनीखेज	ssīhēj
सनसनीखेज़	ssīhēz
सनसनीख़ेज	ssī̱ẖēj
सनसनीख़ेज़	ssī̱ẖēz
स्नातक	sāt
स्नातकोत्तर	sātōttr
स्नेह	sēh
सप्ताह	sptāh
सप्ताहांत	sptāhāt
सप्ताहों	sptāhō̃
सपना	spā
स्प्निल	spil
सपने	spē
सपनों	spō̃
सपरिवार	sprivār
सप्लाई	splāī
स्पष्ट	spṣṭ
स्पष्टीकरण	spṣṭīrṇ
स्पाइडरमैन	spāiḍrmi
स्पाइबॉट	spāibôṭ
स्पाइवेयर	spāivēyr
सपाट	spāṭ
स्पायवेयरइन्फ़ो	spāyvēyrifō
स्पिटज़र	spiṭzr
स्पिति	spiti
स्पिन	spi
स्पिनर	spir
स्पिनरों	spirō̃
स्पियर्स	spiyrs
स्पिरिट	spiriṭ
स्पीकर	spīr
स्पीकरों	spīrō̃
स्पीच	spīc
स्पीड	spīḍ
स्पीलबर्ग	spīlbrg
स्पेन	spē
स्पेनिश	spēiś
स्पेशल	spēśl
स्पेस	spēs
स्पेसलाइनर	spēslāir
स्पेसशि	spēsśi
स्पेसशिप	spēsśip
स्पेसशिपवन	spēsśipv
स्पैनिश	spiiś
सपोर्ट	spōrṭ
स्पोर्टस	spōrṭs
स्पोर्ट्स	spōrṭs
स्पोर्ट्सवीयर	spōrṭsvīyr
सफ़दरजंग	sfdrjg
सफर	sphr
सफ़र	sfr
सफ़रनामा	sfrāmā
सफ़राज़	sfrāz
सफल	sphl
सफ़ल	sfl
सफलतम	sphltm
सफलता	sphltā
सफलताएँ	sphltāē̃
सफलताओं	sphltāō̃
सफलतापूर्वक	sphltāpūrv
सफाई	sphāī
सफ़ाई	sfāī
सफ़ाया	sfāyā
सफ़ी	sfī
स्फूर्त	sphūrt
सफेद	sphēd
सफ़ेद	sfēd
सफ़ेदपोश	sfēdpōś
सफेदी	sphēdī
सब	sb
सबक	sb
